Size,NumThread,Thread,Latency,
8000B,1,0,78.52,
8000B,2,0,95.73,
8000B,2,1,92.57,
8000B,4,2,105.82,
8000B,4,1,108.46,
8000B,4,0,115.74,
8000B,4,3,114.86,
8000B,8,0,60.02,
8000B,8,3,64.76,
8000B,8,4,69.57,
8000B,8,5,67.54,
8000B,8,2,68.42,
8000B,8,6,278.45,
8000B,8,7,67.55,
8000B,8,1,59.16,
8000B,16,0,45.84,
8000B,16,6,34.23,
8000B,16,3,36.9,
8000B,16,4,36.07,
8000B,16,8,33.18,
8000B,16,2,38.7,
8000B,16,1,43.5,
8000B,16,9,31.57,
8000B,16,7,32.99,
8000B,16,10,33.02,
8000B,16,11,42.75,
8000B,16,15,32.23,
8000B,16,14,93.59,
8000B,16,12,49.56,
8000B,16,5,38.6,
8000B,16,13,44.47,
16000B,1,0,19.17,
16000B,2,0,22.07,
16000B,2,1,22.58,
16000B,4,0,23.26,
16000B,4,3,22.26,
16000B,4,1,32.65,
16000B,4,2,29.48,
16000B,8,0,32.74,
16000B,8,1,33.35,
16000B,8,7,32.1,
16000B,8,5,32.24,
16000B,8,6,31.61,
16000B,8,2,32.09,
16000B,8,3,33.31,
16000B,8,4,32.14,
16000B,16,0,33.02,
16000B,16,1,34.12,
16000B,16,2,32.68,
16000B,16,3,32.37,
16000B,16,4,32.99,
16000B,16,5,35.51,
16000B,16,6,34.05,
16000B,16,7,32.93,
16000B,16,8,35.03,
16000B,16,9,42.15,
16000B,16,10,44.21,
16000B,16,11,42.84,
16000B,16,12,32.18,
16000B,16,13,33.73,
16000B,16,14,34.17,
16000B,16,15,59.65,
32000B,1,0,19.87,
32000B,2,0,22.96,
32000B,2,1,22.34,
32000B,4,1,23.06,
32000B,4,3,23.02,
32000B,4,0,35.39,
32000B,4,2,36.66,
32000B,8,0,33.35,
32000B,8,2,33.54,
32000B,8,1,33.86,
32000B,8,6,32.13,
32000B,8,7,32.15,
32000B,8,3,31.68,
32000B,8,4,33.45,
32000B,8,5,32.59,
32000B,16,0,34.86,
32000B,16,1,35.71,
32000B,16,2,38.14,
32000B,16,3,34.62,
32000B,16,4,34.15,
32000B,16,5,35.15,
32000B,16,6,34.17,
32000B,16,7,60.36,
32000B,16,8,52.63,
32000B,16,9,55.45,
32000B,16,10,46.28,
32000B,16,11,57.45,
32000B,16,12,34.58,
32000B,16,13,49.98,
32000B,16,14,47.57,
32000B,16,15,34.88,
64000B,1,0,21.07,
