Size,NumThread,Thread,Latency,,,,
8000B,1,0, 20.49ns,,,,
8000B,2,1, 35.15ns,,,,
8000B,2,0, 34.72ns,,,,
8000B,4,2, 42.26ns,,,,
8000B,4,0, 37.60ns,,,,
8000B,4,1, 38.67ns,,,,
8000B,4,3, 39.03ns,,,,
8000B,8,0, 45.44ns,,,,
8000B,8,1, 49.04ns,,,,
8000B,8,3, 45.13ns,,,,
8000B,8,5, 49.74ns,,,,
8000B,8,2, 46.64ns,,,,
8000B,8,6, 65.42ns,,,,
8000B,8,4, 49.20ns,,,,
8000B,8,7, 51.55ns,,,,
8000B,16,0, 41.85ns,,,,
8000B,16,3, 47.86ns,,,,
8000B,16,14, 51.81ns,,,,
8000B,16,5, 51.18ns,,,,
8000B,16,6, 54.77ns,,,,
8000B,16,2, 50.78ns,,,,
8000B,16,11, 50.59ns,,,,
8000B,16,9, 50.24ns,,,,
8000B,16,8, 48.83ns,,,,
8000B,16,10, 51.54ns,,,,
8000B,16,4, 108.26ns,,,,
8000B,16,12, 53.08ns,,,,
8000B,16,15, 54.99ns,,,,
8000B,16,1, 50.69ns,,,,
8000B,16,7, 108.93ns,,,,
8000B,16,13, 67.61ns,,,,
16000B,1,0, 21.66ns,,,,
16000B,2,0, 33.27ns,,,,
16000B,4,0, 35.42ns,,,,
16000B,8,0, 40.34ns,,,,
16000B,16,0,40.21,,,,
16000B,2,1, 43.73ns,,,,
16000B,4,1, 48.57ns,,,,
16000B,8,1, 50.34ns,,,,
16000B,16,1,47.16,,,,
16000B,4,2, 54.01ns,,,,
16000B,8,2, 54.84ns,,,,
16000B,16,2,54.64,,,,
16000B,4,3, 52.34ns,,,,
16000B,8,3, 51.58ns,,,,
16000B,16,3,61.39,,,,
16000B,8,4, 56.73ns,,,,
16000B,16,4,51.69,,,,
16000B,8,5, 55.89ns,,,,
16000B,16,5,50.78,,,,
16000B,8,6, 52.88ns,,,,
16000B,16,6,54.45,,,,
16000B,8,7, 52.57ns,,,,
16000B,16,7,51.24,,,,
16000B,16,8,57.02,,,,
16000B,16,9,86.3,,,,
16000B,16,10,88.15,,,,
16000B,16,11,59.58,,,,
16000B,16,12,90.97,,,,
16000B,16,13,82.08,,,,
16000B,16,14,108.16,,,,
16000B,16,15,99.83,,,,
32000B,1,0, 23.01ns,,,,
32000B,2,1, 36.29ns,,,,
32000B,2,0, 38.26ns,,,,
32000B,4,2, 38.00ns,,,,
32000B,4,3, 38.56ns,,,,
32000B,4,1, 46.00ns,,,,
32000B,4,0, 49.44ns,,,,
32000B,8,5, 49.52ns,,,,
32000B,8,0, 49.69ns,,,,
32000B,8,3, 56.64ns,,,,
32000B,8,2, 60.64ns,,,,
32000B,8,7, 55.30ns,,,,
32000B,8,1, 58.31ns,,,,
32000B,8,4, 55.66ns,,,,
32000B,8,6, 53.88ns,,,,
32000B,16,0,48.37,,,,
32000B,16,1,54.45,,,,
